"","LF_Name","LC_Name","Temp_Moist","RealmWE_ID","WE_ID","Realm_ID","RealmClass","LF_Class","MoistClass","TempClass","LC_Class","Realm_Name","Temp_Name","Moist_Name","WEcosystm","RWEcosystm","LandC_Type","Code","CR_HEX","LC_HEX","LF_HEX","TempMoistClass","WTE_code","WTE_HEX"
"55","Hills","Sparsley or Non vegetated","Cool Temperate Dry",5147,147,5000,5,2,2,2,6,"Nearctic","Cool Temperate","Dry","Cool Temperate Dry Sparsley or Non vegetated on Hills","Nearctic Cool Temperate Dry Sparsley or Non vegetated on Hills","Natural",2226,"#238C4666","#D9D99EFF","#7DC756B2",5,6205,"#6ab35d"
"56","Hills","Grassland","Sub Tropical Moist",8295,295,8000,8,2,3,4,4,"Palearctic","Sub Tropical","Moist","Sub Tropical Moist Grassland on Hills","Palearctic Sub Tropical Moist Grassland on Hills","Natural",4324,"#FCC24E66","#789E60FF","#7DC756B2",12,4212,"#afbe55"
"57","Hills","Cropland","Sub Tropical Desert",1349,349,1000,1,2,1,4,1,"Afrotropic","Sub Tropical","Desert","Sub Tropical Desert Cropland on Hills","Afrotropic Sub Tropical Desert Cropland on Hills","Converted",4121,"#FFF7BA66","#B5D99EFF","#7DC756B2",10,1210,"#bbdd8b"
"58","Hills","Forest","Tropical Moist",6398,398,6000,6,2,3,5,3,"Neotropic","Tropical","Moist","Tropical Moist Forest on Hills","Neotropic Tropical Moist Forest on Hills","Natural",5323,"#66240566","#267300FF","#7DC756B2",15,3215,"#647726"
"59","Hills","Cropland","Boreal Dry",5085,85,5000,5,2,2,1,1,"Nearctic","Boreal","Dry","Boreal Dry Cropland on Hills","Nearctic Boreal Dry Cropland on Hills","Converted",1221,"#2C8EBF66","#B5D99EFF","#7DC756B2",2,1202,"#67b38d"
"60","Hills","Cropland","Tropical Moist",6390,390,6000,6,2,3,5,1,"Neotropic","Tropical","Moist","Tropical Moist Cropland on Hills","Neotropic Tropical Moist Cropland on Hills","Converted",5321,"#66240566","#B5D99EFF","#7DC756B2",15,1215,"#7e8943"
"61","Hills","Settlement","Tropical Moist",4407,407,4000,4,2,3,5,5,"Indomalayan","Tropical","Moist","Tropical Moist Settlement on Hills","Indomalayan Tropical Moist Settlement on Hills","Converted",5325,"#66240566","#8A4343FF","#7DC756B2",15,5215,"#766e32"
"62","Hills","Cropland","Sub Tropical Dry",1278,278,1000,1,2,2,4,1,"Afrotropic","Sub Tropical","Dry","Sub Tropical Dry Cropland on Hills","Afrotropic Sub Tropical Dry Cropland on Hills","Converted",4221,"#FCE30066","#B5D99EFF","#7DC756B2",11,1211,"#bad541"
"63","Hills","Cropland","Tropical Desert",8380,380,8000,8,2,1,5,1,"Palearctic","Tropical","Desert","Tropical Desert Cropland on Hills","Palearctic Tropical Desert Cropland on Hills","Converted",5121,"#CC4C0266","#B5D99EFF","#7DC756B2",13,1213,"#a79941"
"64","Hills","Grassland","Tropical Moist",1403,403,1000,1,2,3,5,4,"Afrotropic","Tropical","Moist","Tropical Moist Grassland on Hills","Afrotropic Tropical Moist Grassland on Hills","Natural",5324,"#66240566","#789E60FF","#7DC756B2",15,4215,"#737e37"
